"t18 Growth OD600, YPD (2%), 3Da",,,,,,,,,,,,,,,,,
cpd1,cpd1_max_dose,cpd2,cpd2_max_dose,dilution_factor,P1,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,A,-0.0007,-0.003,-0.0006,-0.0075,-0.008,-0.0058,-0.0012,-0.0038,-0.0049,-0.0062,-0.0053,-0.0044
Cpd_1,3.3,NA,NA,1.1,B,0.7339,0.5923,0.6639,0.4907,0.509,0.4132,0.3307,0.2673,0.1933,0.1277,0.0391,-0.013
Cpd_2,15,NA,NA,1.36,C,0.9239,0.9333,1.0565,0.8353,0.9508,0.7303,0.7601,0.7576,0.5814,0.4447,0.192,0.0284
Cpd_3,7.5,NA,NA,1.28,D,1.0132,1.0594,1.0938,1.0119,0.9972,0.9559,0.8568,0.8776,0.7198,0.4922,0.2579,0.2088
Cpd_4,1000,NA,NA,1.31,E,0.9874,0.9434,0.9186,1.0179,0.9347,0.9711,0.8759,0.6991,0.5173,0.3343,0.1664,0.0799
Cpd_5,38,NA,NA,1.13,F,0.8465,0.8826,0.8377,0.8595,0.8483,0.868,0.7662,0.8115,0.7971,0.5166,0.7569,0.509
Cpd_6,10,NA,NA,1.52,G,0.8675,0.8641,0.8428,0.7742,0.7184,0.6781,0.6216,0.6196,0.6317,0.6379,0.7003,0.7414
,,,,,H,-0.0011,0.0017,0.0011,0.0005,-0.0045,-0.0051,-0.004,-0.004,-0.0057,-0.0058,-0.0043,-0.0026
,,,,,,,,,,,,,,,,,
,,,,,P2,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,A,-0.0005,0.0001,-0.0047,1.00E-04,0,0,0,0.0007,0.0001,0,0.0008,-0.0001
Cpd_7,5,NA,NA,1.09,B,-0.0088,-0.0151,-0.0253,-0.0092,-0.023,-0.0177,-0.0185,-0.0171,0.005,-0.008,-0.044,-0.0061
Cpd_8,1000,NA,NA,1.13,C,0.7215,0.5838,0.6846,0.6671,0.5548,0.5185,0.4255,0.4159,0.3855,0.3396,0.3149,0.1128
Cpd_1,2.533,Cpd_2,3.486,1.22,D,0.8102,0.5965,0.7622,0.6995,0.6941,0.6987,0.5808,0.6168,0.5658,0.4999,0.3281,0.0964
Cpd_1,2.311,Cpd_3,2.249,1.18,E,0.8973,0.6866,0.7688,0.778,0.7415,0.7659,0.6477,0.6182,0.5685,0.5023,0.3313,0.1075
Cpd_1,2.407,Cpd_4,270.504,1.2,F,0.9277,0.9117,0.9283,0.8902,0.8696,0.8503,0.7816,0.7791,0.7335,0.5962,0.4819,0.1215
Cpd_1,1.783,Cpd_5,17.467,1.11,G,0.7376,0.5807,0.6222,0.5696,0.6042,0.5895,0.555,0.546,0.5284,0.5205,0.4889,0.3993
,,,,,H,-0.0002,0.0003,-0.0027,-0.0004,-0.0004,-0.0003,-0.0003,-0.0003,-0.0004,0.0003,-0.0004,-0.0001
,,,,,,,,,,,,,,,,,
,,,,,P3,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,A,0.0003,0.0003,-0.0028,0.0001,0.0001,0.0002,0.0006,0.0001,0.0001,-0.0015,0.0008,0.0022
Cpd_1,2.831,Cpd_6,1.422,1.29,B,1.0525,1.0167,1.035,0.9995,0.9884,0.888,0.696,0.5904,0.4909,0.3738,0.327,0.2384
Cpd_1,1.611,Cpd_7,2.56,1.09,C,0.4945,0.4165,0.3366,0.3045,0.2115,0.1747,0.1124,0.0642,0.031,-0.0325,-0.0166,-0.024
Cpd_1,1.804,Cpd_8,453.3,1.12,D,0.9746,0.954,0.9244,0.8773,0.7645,0.7433,0.6154,0.5184,0.4305,0.2973,0.2325,0.1196
Cpd_2,6.213,Cpd_3,4.393,1.32,E,1.0302,1.0277,1.0384,1.0208,1.0112,1.0178,0.9487,0.8359,0.6756,0.3243,0.184,0.0723
Cpd_2,6.742,Cpd_4,550.51,1.34,F,1.0073,0.9892,1.008,0.994,0.99,1.0084,0.9427,0.8021,0.6079,0.2914,0.1678,0.0432
Cpd_2,3.937,Cpd_5,28.026,1.24,G,1.0265,1.0373,1.0735,1.0392,1.0146,0.9774,0.955,0.8605,0.7927,0.5041,0.3584,0.1196
,,,,,H,0.0005,0.0005,0.0002,0,0.002,1.00E-04,0.0003,-0.0001,0.0002,-0.0001,0.0003,-1.00E-04
,,,,,,,,,,,,,,,,,
,,,,,P4,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,A,-0.0001,-0.0018,-0.0002,0.0001,-0.0001,-0.0003,0.0017,-0.0002,-0.0002,0,0.0003,-0.0003
Cpd_2,9.692,Cpd_6,3.539,1.44,B,1.0467,1.0269,1.086,1.0064,0.9736,0.8822,0.7394,0.6418,0.5297,0.2871,0.18,0.0842
Cpd_2,3.36,Cpd_7,3.88,1.22,C,0.8672,0.6928,0.5698,0.4522,0.3363,0.2638,0.1871,0.1017,0.0417,0.0274,0.0336,0.0315
Cpd_2,4.012,Cpd_8,732.521,1.24,D,1.0199,1.0007,0.9918,0.9569,0.8774,0.8637,0.7759,0.5754,0.4275,0.2027,0.1372,0.0474
Cpd_3,4.019,Cpd_4,464.102,1.3,E,1.0232,1.0049,1.009,0.9557,0.901,0.8477,0.6076,0.3337,0.1212,0.0743,0.0638,0.0417
Cpd_3,2.511,Cpd_5,25.277,1.2,F,1.0356,0.9729,0.9597,0.9935,1.0161,1.0185,0.9508,0.6637,0.295,0.0986,0.0369,0.0405
Cpd_3,5.406,Cpd_6,2.792,1.39,G,1.003,1.0381,1.0359,1.0362,0.9651,0.8008,0.6003,0.3716,0.1716,0.0716,0.0574,0.0146
,,,,,H,-0.0004,-0.0004,0.0004,-1.00E-04,-0.0006,-0.0005,-0.0006,-0.0004,-1.00E-04,-0.0043,0.0003,-0.0004
,,,,,,,,,,,,,,,,,
,,,,,P5,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,A,0.0012,0.0037,0.0006,0.0056,0.0057,0.0027,0.0024,0.0023,0.003,0.0034,0.0029,-0.0011
Cpd_3,2.174,Cpd_7,3.551,1.18,B,0.6644,0.5814,0.5575,0.4291,0.329,0.2099,0.0673,0.0415,0.0371,0.0625,0.0378,0.0067
Cpd_3,2.554,Cpd_8,659.458,1.2,C,1.1111,1.1143,1.0809,1.0455,1.0498,1.05,1.0324,0.8837,0.7293,0.466,0.3221,0.0986
Cpd_4,303.568,Cpd_5,26.464,1.22,D,0.978,0.9893,0.9846,0.8922,0.9767,0.9947,0.9585,0.5587,0.3073,0.2296,0.2183,0.058
Cpd_4,690.983,Cpd_6,3.09,1.41,E,1.1204,1.1075,1.0103,0.9039,0.7102,0.2861,0.1985,0.1344,0.1134,0.1193,0.1453,0.0377
Cpd_4,261.204,Cpd_7,3.694,1.19,F,0.8025,0.7088,0.7105,0.603,0.4257,0.2336,0.1372,0.143,0.155,0.0975,0.0733,0.0639
Cpd_4,309.017,Cpd_8,690.983,1.22,G,0.9904,1.0756,1.1137,1.0203,1.0534,0.8901,0.7238,0.5494,0.45,0.2688,0.1291,0.0179
,,,,,H,0.0011,0.0012,0.0006,0.0019,0.0026,0.0022,0.002,0.0017,0.0037,0.0041,0.0027,0.0012
,,,,,,,,,,,,,,,,,
,,,,,P6,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,A,0.0004,0.0003,0.0002,0.0001,0.0005,0.0003,0.0034,0.0008,0,0.0003,0.0005,0.0004
Cpd_5,31.801,Cpd_6,1.631,1.31,B,0.9571,0.9239,0.9147,0.8831,0.8647,0.8377,0.7896,0.4285,0.3205,0.33,0.3483,0.3407
Cpd_5,17.018,Cpd_7,2.761,1.11,C,0.3834,0.7309,0.3859,0.3475,0.2864,0.4088,0.1958,0.1407,0.0725,0.0367,0.0409,0.0206
Cpd_5,19.244,Cpd_8,493.589,1.13,D,0.9286,0.8725,0.91,0.9042,0.9042,0.8525,0.8995,0.7958,0.7524,0.5163,0.0819,0.3772
Cpd_6,1.365,Cpd_7,4.317,1.29,E,0.9534,0.8755,0.8368,0.9131,0.5239,0.3268,0.2352,0.147,0.0704,0.0297,0.0244,0.009
Cpd_6,1.667,Cpd_8,833.333,1.31,F,1.0037,0.9574,0.9413,0.9728,0.8822,0.6811,0.5093,0.4053,0.3496,0.2893,0.272,0.2196
Cpd_7,2.792,Cpd_8,441.518,1.11,G,0.5457,0.4934,0.4204,0.3359,0.2758,0.1893,0.1285,0.093,0.0706,0.0252,0.0301,0.0029
,,,,,H,0.0041,0.0006,0.0005,0.0005,0.0008,0.0015,0.0004,0.0008,0.001,0.0007,0.0014,0.0008
