,plate,row,column,cpd1,cpd1_max_dose,cpd2,cpd2_max_dose,dilution_factor
Cpd_1,1,A-A,1 to 12,Cpd_1,3.3,NA,NA,1.1
Cpd_2,1,B-B,1 to 12,Cpd_2,15,NA,NA,1.36
Cpd_3,1,C-C,1 to 12,Cpd_3,7.5,NA,NA,1.28
Cpd_4,1,D-D,1 to 12,Cpd_4,1000,NA,NA,1.31
Cpd_5,1,E-E,1 to 12,Cpd_5,38,NA,NA,1.13
Cpd_6,1,F-F,1 to 12,Cpd_6,10,NA,NA,1.52
Cpd_7,2,A-A,1 to 12,Cpd_7,5,NA,NA,1.09
Cpd_8,2,B-B,1 to 12,Cpd_8,1000,NA,NA,1.13
Cpd_1-Cpd_2,2,C-C,1 to 12,Cpd_1,2.533,Cpd_2,3.486,1.22
Cpd_1-Cpd_3,2,D-D,1 to 12,Cpd_1,2.311,Cpd_3,2.249,1.18
Cpd_1-Cpd_4,2,E-E,1 to 12,Cpd_1,2.407,Cpd_4,270.504,1.2
Cpd_1-Cpd_5,2,F-F,1 to 12,Cpd_1,1.783,Cpd_5,17.467,1.11
Cpd_1-Cpd_6,3,A-A,1 to 12,Cpd_1,2.831,Cpd_6,1.422,1.29
Cpd_1-Cpd_7,3,B-B,1 to 12,Cpd_1,1.611,Cpd_7,2.56,1.09
Cpd_1-Cpd_8,3,C-C,1 to 12,Cpd_1,1.804,Cpd_8,453.3,1.12
Cpd_2-Cpd_3,3,D-D,1 to 12,Cpd_2,6.213,Cpd_3,4.393,1.32
Cpd_2-Cpd_4,3,E-E,1 to 12,Cpd_2,6.742,Cpd_4,550.51,1.34
Cpd_2-Cpd_5,3,F-F,1 to 12,Cpd_2,3.937,Cpd_5,28.026,1.24
Cpd_2-Cpd_6,4,A-A,1 to 12,Cpd_2,9.692,Cpd_6,3.539,1.44
Cpd_2-Cpd_7,4,B-B,1 to 12,Cpd_2,3.36,Cpd_7,3.88,1.22
Cpd_2-Cpd_8,4,C-C,1 to 12,Cpd_2,4.012,Cpd_8,732.521,1.24
Cpd_3-Cpd_4,4,D-D,1 to 12,Cpd_3,4.019,Cpd_4,464.102,1.3
Cpd_3-Cpd_5,4,E-E,1 to 12,Cpd_3,2.511,Cpd_5,25.277,1.2
Cpd_3-Cpd_6,4,F-F,1 to 12,Cpd_3,5.406,Cpd_6,2.792,1.39
Cpd_3-Cpd_7,5,A-A,1 to 12,Cpd_3,2.174,Cpd_7,3.551,1.18
Cpd_3-Cpd_8,5,B-B,1 to 12,Cpd_3,2.554,Cpd_8,659.458,1.2
Cpd_4-Cpd_5,5,C-C,1 to 12,Cpd_4,303.568,Cpd_5,26.464,1.22
Cpd_4-Cpd_6,5,D-D,1 to 12,Cpd_4,690.983,Cpd_6,3.09,1.41
Cpd_4-Cpd_7,5,E-E,1 to 12,Cpd_4,261.204,Cpd_7,3.694,1.19
Cpd_4-Cpd_8,5,F-F,1 to 12,Cpd_4,309.017,Cpd_8,690.983,1.22
Cpd_5-Cpd_6,6,A-A,1 to 12,Cpd_5,31.801,Cpd_6,1.631,1.31
Cpd_5-Cpd_7,6,B-B,1 to 12,Cpd_5,17.018,Cpd_7,2.761,1.11
Cpd_5-Cpd_8,6,C-C,1 to 12,Cpd_5,19.244,Cpd_8,493.589,1.13
Cpd_6-Cpd_7,6,D-D,1 to 12,Cpd_6,1.365,Cpd_7,4.317,1.29
Cpd_6-Cpd_8,6,E-E,1 to 12,Cpd_6,1.667,Cpd_8,833.333,1.31
Cpd_7-Cpd_8,6,F-F,1 to 12,Cpd_7,2.792,Cpd_8,441.518,1.11
